brand,model_full,year,km,fuel,gearbox,price
MERCEDES,MERCEDES CLA SHOOTING BRAKE AMG,2019.0,38520.0, Essence, automatique,51250.0
FIAT,FIAT 500 (2E GENERATION),2019.0,16028.0, Essence, mécanique,12750.0
AUDI,AUDI S5 CABRIOLET,2010.0,62097.0, Essence, automatique,31010.0
AUDI,AUDI A3 (3E GENERATION) SPORTBACK,2018.0,45803.0, Diesel, mécanique,22010.0
PORSCHE,PORSCHE MACAN,2019.0,47775.0, Essence, automatique,64990.0
DS,DS DS 7 CROSSBACK,2020.0,125115.0, Essence, automatique,28130.0
VOLKSWAGEN,VOLKSWAGEN GOLF 8,2021.0,10593.0, Essence, automatique,31010.0
MINI,MINI MINI 3 5P,2020.0,18127.0, Essence, automatique,25300.0
AUDI,AUDI Q5 (2E GENERATION),2022.0,11977.0, Diesel, automatique,81480.0
OPEL,OPEL ANTARA,2008.0,184896.0, Diesel, automatique,8300.0
TOYOTA,TOYOTA AURIS 2,2018.0,27940.0, Hybride essence électrique, automatique,19190.0
PEUGEOT,PEUGEOT 2008 (2E GENERATION),2022.0,142.0, Diesel, mécanique,32430.0
PORSCHE,PORSCHE 911 TYPE 991 CABRIOLET TURBO,2016.0,53663.0, Essence, automatique,174620.0
PORSCHE,PORSCHE CAYENNE 3 COUPE,2020.0,2199.0, Hybride essence électrique, automatique,190630.0
AUDI,AUDI Q2,2019.0,63023.0, Diesel, automatique,26190.0
BMW,BMW SERIE 4 F83 CABRIOLET M4,2020.0,19186.0, Essence, automatique,85370.0
CHEVROLET,CHEVROLET CORVETTE C1 CABRIOLET,1959.0,28600.0, Essence, mécanique,81400.0
OPEL,OPEL CORSA 5,2018.0,103704.0, Diesel, mécanique,12580.0
MERCEDES,MERCEDES CLASSE CLC,2010.0,199369.0, Diesel, mécanique,11050.0
BMW,BMW SERIE 1 F40,2022.0,4280.0, Diesel, automatique,37430.0
PEUGEOT,PEUGEOT E-2008 (2E GENERATION),2021.0,10925.0, Electrique, automatique,36780.0
FIAT,FIAT 500 (2E GENERATION),2022.0,17424.0, Essence, mécanique,15710.0
BMW,BMW SERIE 1 F40,2020.0,16130.0, Diesel, mécanique,26890.0
AUDI,AUDI Q3,2020.0,114215.0, Diesel, automatique,30750.0
FIAT,FIAT 500,1973.0,25606.0, Essence, mécanique,11780.0
FIAT,FIAT TIPO 2 SW,2018.0,93644.0, Diesel, automatique,12700.0
VOLKSWAGEN,VOLKSWAGEN TIGUAN,2013.0,92251.0, Diesel, automatique,23380.0
AUDI,AUDI Q2,2021.0,15492.0, Essence, mécanique,32310.0
PEUGEOT,PEUGEOT 5008 (2E GENERATION),2019.0,89593.0, Diesel, automatique,27330.0
RENAULT,RENAULT TWINGO 2,2013.0,120640.0, Essence, mécanique,7520.0
OPEL,OPEL GRANDLAND X,2021.0,151.0, Hybride essence électrique, automatique,51900.0
RENAULT,RENAULT KANGOO 2 SOCIETE,2019.0,78090.0, Diesel, mécanique,13070.0
PEUGEOT,PEUGEOT 208 (2E GENERATION),2021.0,34307.0, Essence, mécanique,22660.0
CITROEN,CITROEN C3 (3E GENERATION),2020.0,3272.0, Essence, mécanique,18540.0
FORD,FORD FOCUS 4 SW,2022.0,12396.0, Essence, mécanique,29630.0
VOLKSWAGEN,VOLKSWAGEN TIGUAN 2 ALLSPACE,2019.0,57213.0, Diesel, automatique,45510.0
PORSCHE,PORSCHE 911 TYPE 997,2009.0,53021.0, Essence, automatique,91590.0
AUDI,AUDI A4 (5E GENERATION) AVANT,2020.0,9748.0, Diesel, automatique,36460.0
VOLKSWAGEN,VOLKSWAGEN GOLF 7,2020.0,42094.0, Essence, mécanique,27710.0
DODGE,DODGE RAM,2018.0,117270.0, Essence, automatique,61880.0
VOLKSWAGEN,VOLKSWAGEN GOLF 7,2015.0,73557.0, Diesel, automatique,18500.0
BMW,BMW SERIE 5 G31 TOURING,2021.0,19680.0, Diesel, automatique,66900.0
DACIA,DACIA SANDERO 2 STEPWAY,2020.0,31238.0, Diesel, mécanique,15840.0
OPEL,OPEL GRANDLAND X,2022.0,8021.0, Essence, automatique,38260.0
OPEL,OPEL CORSA 5,2018.0,60654.0, Essence, mécanique,10940.0
PEUGEOT,PEUGEOT 108,2022.0,5833.0, Essence, mécanique,14250.0
MERCEDES,MERCEDES GLC COUPE AMG,2019.0,64607.0, Essence, automatique,84630.0
VOLKSWAGEN,VOLKSWAGEN GOLF 7,2017.0,117600.0, Diesel, mécanique,16680.0
MAZDA,MAZDA 3 (4E GENERATION),2020.0,107600.0, Diesel, automatique,24270.0
AUDI,AUDI Q3,2017.0,83151.0, Diesel, automatique,26980.0
NISSAN,NISSAN MICRA 5,2022.0,12.0, Essence, mécanique,21440.0
PEUGEOT,PEUGEOT 308 (2E GENERATION) SW,2022.0,22609.0, Diesel, automatique,26480.0
PEUGEOT,PEUGEOT 2008 (2E GENERATION),2021.0,27731.0, Essence, automatique,29310.0
BMW,BMW SERIE 3 G20,2021.0,9184.0, Essence, automatique,45490.0
BMW,BMW SERIE 5 G31 TOURING,2018.0,73458.0, Diesel, automatique,38740.0
VOLKSWAGEN,VOLKSWAGEN POLO 5 ENTREPRISE,2017.0,149500.0, Diesel, mécanique,9080.0
PEUGEOT,PEUGEOT 308 (2E GENERATION),2016.0,122233.0, Diesel, mécanique,12480.0
RENAULT,RENAULT KANGOO 2 EXPRESS,2021.0,8903.0, Diesel, mécanique,14230.0
RENAULT,RENAULT MEGANE 4 ESTATE,2017.0,130140.0, Diesel, automatique,16180.0
DACIA,DACIA SANDERO 2,2018.0,39711.0, Essence, mécanique,9970.0
AUDI,AUDI A3 (4E GENERATION) SPORTBACK,2022.0,6360.0, Essence, automatique,37720.0
PEUGEOT,PEUGEOT 2008 (2E GENERATION),2022.0,1.0, Essence, mécanique,32860.0
PEUGEOT,PEUGEOT 3008 (2E GENERATION),2021.0,19641.0, Essence, mécanique,31780.0
AUDI,AUDI A3 (3E GENERATION) SPORTBACK,2021.0,9143.0, Essence, automatique,43010.0
CITROEN,CITROEN C3 (3E GENERATION),2018.0,37889.0, Diesel, mécanique,15910.0
VOLKSWAGEN,VOLKSWAGEN GOLF 7,2018.0,122040.0, Diesel, mécanique,21580.0
MINI,MINI MINI 3 CLUBMAN,2018.0,120700.0, Essence, automatique,26380.0
CITROEN,CITROEN C3 (2E GENERATION),2015.0,77000.0, Diesel, mécanique,10960.0
LAND,LAND ROVER RANGE ROVER SPORT 2,2016.0,124146.0, Diesel, automatique,48890.0
RENAULT,RENAULT CAPTUR,2019.0,46394.0, Essence, mécanique,17190.0
AUDI,AUDI RS Q3 (2E GENERATION),2020.0,16989.0, Essence, automatique,83420.0
CITROEN,CITROEN C1 (2E GENERATION),2017.0,82950.0, Essence, mécanique,6280.0
MAZDA,MAZDA CX-30,2022.0,9913.0, Essence, automatique,32990.0
MERCEDES,MERCEDES CLASSE A 4,2020.0,24409.0, Diesel, automatique,29840.0
CITROEN,CITROEN C4 CACTUS,2020.0,58040.0, Diesel, mécanique,14220.0
CHEVROLET,CHEVROLET CAMARO 6,2020.0,46545.0, Essence, automatique,61950.0
RENAULT,RENAULT KADJAR,2019.0,42471.0, Diesel, mécanique,19230.0
KIA,KIA STONIC,2022.0,21.0, Essence, mécanique,22210.0
RENAULT,RENAULT KADJAR,2022.0,12.0, Essence, automatique,27810.0
RENAULT,RENAULT CLIO 5,2022.0,12.0, Essence, mécanique,21030.0
BMW,BMW SERIE 3 G20,2022.0,14750.0, Diesel, automatique,44720.0
AUDI,AUDI Q3 (2E GENERATION),2020.0,28885.0, Essence, automatique,44570.0
MINI,MINI COUNTRYMAN 2,2019.0,88706.0, Diesel, mécanique,23580.0
RENAULT,RENAULT MEGANE 4,2020.0,45260.0, Diesel, automatique,24180.0
VOLVO,VOLVO XC40,2020.0,63978.0, Diesel, automatique,40530.0
AUDI,AUDI RS3 (2E GENERATION) SPORTBACK,2019.0,72000.0, Essence, automatique,70680.0
